RECORD,BBLE,B,BLOCK,LOT,EASEMENT,OWNER,BLDGCL,TAXCLASS,LTFRONT,LTDEPTH,EXT,STORIES,FULLVAL,AVLAND,AVTOT,EXLAND,EXTOT,EXCD1,STADDR,ZIP,EXMPTCL,BLDFRONT,BLDDEPTH,AVLAND2,AVTOT2,EXLAND2,EXTOT2,EXCD2,PERIOD,YEAR,VALTYPE,score1,score2,score1 rank,score2 rank,final
665158,4030720001,4,3072,1,,ST JOHNS CEMETERY,Z8,4,1412,2532,,1,29355000,13140000,13209750,13140000,13209750,1700,80-01A METROPOLITAN AVENUE,11379,X5,12,18,11745000,11807640,11745000,11807640,,FINAL,2010/11,AC-TR,306.3093246,89.07076799,1070951,1070945,1070948
649675,4025190100,4,2519,100,,NEWFOUND LLC,V9,4,3,22,,5.446967885,3211927.522,600949.4334,1488705.342,0,0,,56 ROAD,11378,,64.43978678,87.82072964,,,,,,FINAL,2010/11,AC-TR,284.9295691,94.49128963,1070942,1070946,1070944
153070,2026050040,2,2605,40,,CITY OF NEW YORK,Y3,4,999,999,,6,1021000000,83700000,459450000,83700000,459450000,2131,10-01 HAZEN STREET,11370,X1,64.43978678,87.82072964,81147600,457257600,81147600,457257600,2132,FINAL,2010/11,AC-TR,294.3574074,83.58171728,1070946,1070941,1070943.5
973912,5014000001,5,1400,1,,THE PORT OFNY & NJ,Y7,4,2800,3700,,2,3090000,1309500,1390500,1309500,1390500,6120,3668 WESTERN AVENUE,10303,,2,12,1197000,1278000,1197000,1278000,,FINAL,2010/11,AC-TR,286.6121937,88.46908309,1070943,1070944,1070943.5
464855,3061400001,3,6140,1,,PARKS AND RECREATION,Q1,4,150,999,,1,59900000,25515000,26955000,25515000,26955000,2231,BOBBY BELLO FIELD,11209,X1,20,40,22612950,24016950,22612950,24016950,,FINAL,2010/11,AC-TR,299.3651488,83.00276765,1070948,1070939,1070943.5
56136,1009950033,1,995,33,,ONE BRYANT PARK,O4,4,201,437,,55,1120000000,99000000,504000000,99000000,504000000,2500,1111 AVENUE OF THE AMER,10036,,64.43978678,87.82072964,87786900,557586900,87786900,557586900,,FINAL,2010/11,AC-TR,279.6953277,95.55520353,1070939,1070947,1070943
556911,3083380001,3,8338,1,,DEPT OF GENERAL SERVI,V3,1B,190,223,,4,150880125,9052808,9052808,9052808,9052808,2191,PAERDEGAT AVENUE S,11236,X1,39.5,82.66666667,,,,,,FINAL,2010/11,AC-TR,268.2296053,96.1047364,1070937,1070949,1070943
773562,4078250001,4,7825,1,,PARKS AND RECREATION,Q1,4,1585,2875,,1,117000000,51300000,52650000,51300000,52650000,2231,SPRINGFIELD BLVD,11364,X1,40,20,46980000,48330000,46980000,48330000,,FINAL,2010/11,AC-TR,281.7786797,87.41550177,1070941,1070943,1070942
764312,4072900001,4,7290,1,,PARKS AND RECREATION,Q1,4,2108,2192,,1,150815000,67050000,67866750,67050000,67866750,2231,196-10 UNION TURNPIKE,11366,X1,25,45,62730000,63546750,62730000,63546750,,FINAL,2010/11,AC-TR,277.6477206,83.45357337,1070938,1070940,1070939
47984,1008800024,1,880,24,,"BERKOWTIZ, ULWT LOUIS",W6,4,39,50,,2,138000000,11025000,62100000,11025000,62100000,3500,49 LEXINGTON AVENUE,10010,,39,50,9415800,56239200,9415800,56239200,,FINAL,2010/11,AC-TR,289.8342532,80.07925491,1070945,1070930,1070937.5
918305,4153080215,4,15308,215,,PARKS AND RECREATION,V0,1B,802,3,,4,36969766,2218186,2218186,2218186,2218186,4600,CROSS BAY BOULEVARD,11693,X3,39.5,82.66666667,,,,,,FINAL,2010/11,AC-TR,263.5916704,81.87428753,1070935,1070936,1070935.5
923883,4157450001,4,15745,1,,PARKS AND RECREATION,Q1,4,25,40,,1,22668000,9990000,10200600,9990000,10200600,2231,BEACH CHANNEL DRIVE,11691,X1,64.43978678,87.82072964,8919000,9107370,8919000,9107370,,FINAL,2010/11,AC-TR,259.0483405,82.3954148,1070933,1070937,1070935
216948,2046000012,2,4600,12,,"KUKIC, DILBER",V1,4,25,3,,5.446967885,3211927.522,600949.4334,1488705.342,0,0,,WHITE PLAINS ROAD,10467,,64.43978678,87.82072964,,,,,,FINAL,2010/11,AC-TR,243.3275403,84.28976487,1070928,1070942,1070935
177646,2034780002,2,3478,2,,PARKS AND RECREATION,Q1,4,700,1463,,1,36200000,16290000,16290000,16290000,16290000,2231,LACOMBE AVENUE,10473,X1,30,18,15831000,15831000,15831000,15831000,,FINAL,2010/11,AC-TR,281.169502,78.96909366,1070940,1070929,1070934.5
